buoyid,alpha_real,alpha_imag
300434065731640D20210907H11,0.05085058931955353,-0.027156866334069
300434065731640D20210910H14,0.03274452504653753,-0.01593533751443327
300434065731640D20210912H10,0.055090679544420734,0.004543936134336687
300434065731640D20210916H22,0.05568146715977492,-0.00941518953058692
300434065736650D20210909H11,0.049794168073197864,0.002883096778682811
300434065831760D20210906H19,0.05159186044461343,0.008578466485607629
300434065831760D20210915H08,0.01470822742059156,-0.011899933081618609
300434065831760D20210920H19,0.042539227171652746,-0.005850814254640006
300434065835770D20210908H11,0.025830741339981797,-0.007718045446365766
300434065932960D20210906H11,0.02546109589024004,-0.008359885805709342
300434065937970D20210905H12,0.033965060119356426,0.0005836600534380314
