buoyid,alpha_real,alpha_imag
C001D20200911H12,-0.010902850065055618,-0.017053447557594595
C002D20200911H11,-0.01677368826802615,-0.002350799266857429
C002D20200928H06,-0.013552387079102838,0.006750988270405468
D001D20200910H17,0.023932588290025404,0.009560787046694835
D002D20200911H11,-0.032792889001443344,-0.0017067411096029167
D003D20200911H11,0.03603731844177849,-0.004008641281222288
D004D20200911H12,-0.03153083172280362,0.005734337035803759
D005D20200910H11,0.02811721559957793,0.007430152345436768
D006D20200911H11,-0.026634411562606437,-0.008019393183829703
D007D20200911H12,-0.02777213709151363,0.020121996347839757
D008D20200911H12,-0.022366735957194135,0.005965906916447426
D009D20200911H12,-0.006739295853146519,-0.01145618051201619
D010D20200911H12,-0.007849951660999563,-0.0027411758092649305
D011D20200910H14,-4.569091882919535e-06,-0.0024501032990456454
D012D20200911H12,-0.036191625346940974,0.004199912968765882
H1155D20200910H11,0.04119626484219586,0.003783031551980846
H1155D20200915H01,0.006182519554440924,-0.006101454285999046
H1155D20200916H00,0.09190869208771849,-0.01353970687679601
H1156D20200910H11,0.016296291989657777,0.01567351507180401
H1157D20200910H12,0.01389412620119649,0.02141620584875816
H1158D20200910H15,-0.0014110456934656435,0.0024779749476390714
H1159D20200911H12,0.028712295849655615,0.003393258095874184
H1160D20200911H11,0.028657586640400745,-0.0014550271469496352
H1161D20200911H12,-0.008626518379365997,-0.007336521466513061
H1162D20200911H11,0.03457495165819643,-0.004456711510611712
H1163D20200911H12,-0.009458960553136058,-0.021373759678866133
H1164D20200911H12,0.032569662133172396,0.010990344391545023
H1165D20200910H14,-0.0023731627867144027,0.008205770081263167
H1166D20200910H15,0.020618458760346067,-0.015754755061271067
H1167D20200911H11,0.031145878984572918,0.007292974383577368
H1168D20200911H12,0.048791849401130065,-0.008705457348500523
H1169D20200911H12,0.03570672345295292,-0.010987832903770785
H1169D20200915H18,0.09719068558578298,-0.01158922289129662
H1169D20200918H08,-0.11966131554237922,-0.047528903837467266
H1169D20200919H12,-0.04174080645063511,-0.006160682628968831
H1169D20200921H08,0.003530911887414339,-0.011483251071070741
H1169D20200923H17,0.001865385245349288,0.08136479836641637
H1169D20200924H14,0.029463646221253154,-0.02105259957646192
H1169D20200927H21,-0.0006245900949922268,-0.054961455769674934
K302D20200911H12,-0.009012439946258317,-0.005612189702287388
K303D20200911H13,0.03774907272851426,-0.021808455033522117
K304D20200910H17,0.04064337913087377,0.057154247994562396
K305D20200910H17,0.012080738023222182,0.011360063784624095
K306D20200910H17,0.002869190434171978,0.018177697464932394
K307D20200910H17,0.01651224108866006,0.009313686992270854
K308D20200910H17,0.015819893319756556,0.014648738576917033
K310D20200910H17,0.043351940031750844,0.0268759813353308
K311D20200910H18,0.008165759387294746,0.08716137430433725
K312D20200910H18,0.0035007266591416744,0.002943552276715747
K313D20200910H18,0.01294519294484756,0.01380704895205313
K314D20200910H17,-0.014911924186529943,0.04590731785267453
K315D20200910H17,0.05553345835487878,0.06550452242751645
K316D20200910H17,-0.03647512380565475,0.1555409331734432
K317D20200910H18,0.0013444582173102577,0.0334202615941254
K317D20200915H18,0.009584347645700136,-0.009371470524994478
K318D20200910H17,0.023277611328513862,0.014680939747862908
K319D20200910H17,0.05384916712904067,0.062243651025217825
K320D20200910H17,0.004042810112313157,0.016393424086751762
K321D20200910H18,0.020881751834913823,0.0004166024085106579
K322D20200910H17,-0.00442148618137699,0.021153454833993134
K323D20200910H18,-0.010413281280378283,0.033640335993453487
K323D20200913H22,0.023354119484317298,-0.002844991073095553
K324D20200910H17,0.025633121320179843,0.021606512067304687
K325D20200910H18,-0.0009278382201695094,0.028860009374893705
K326D20200910H17,-0.005616479661921933,0.02589528559580319
K327D20200910H17,0.03220623218583771,0.02530677972010967
K328D20200910H17,0.03769091503874036,0.018568643345374804
K329D20200910H17,0.011911138949740892,0.00679700256654353
K330D20200910H18,0.015504819542203016,-0.0010871798993387608
K331D20200911H12,-0.013010796783458798,0.003101406748752051
K332D20200911H11,-0.01869900436114386,-0.0007347481409562411
K333D20200911H12,0.029886692410788986,0.01167462576978908
K334D20200910H14,0.022828999631241798,-0.0019152962978013113
K335D20200910H14,-0.0069536442878528545,0.008426766621480154
K336D20200910H14,0.022372888044347092,-0.0038449464845828414
K337D20200910H15,0.008860428379623643,0.014875512356779856
K338D20200910H15,0.05992651228159769,-0.05286579941781042
K339D20200910H15,0.018225851596572664,-0.0057296776889772735
K340D20200910H15,0.008004552820278505,0.0037141249283878706
K341D20200910H16,0.023055357213175365,-0.0006413451284566128
K342D20200910H16,0.010603081835573841,0.011546631100979879
K343D20200910H15,0.01694952619797903,0.009487484488389732
K344D20200910H15,0.010019566683252894,0.014767124507507548
K345D20200910H15,0.018878476022473913,-0.0205125738470225
K347D20200910H15,0.010559656078626072,0.010213118161132451
K348D20200910H14,0.02165157223036767,-0.0023800483347751478
K349D20200910H15,0.028786791644850717,0.016967836559964793
K350D20200910H14,0.017660034311444507,0.0017797674926321942
K351D20200910H15,-0.005618232719628306,0.0051697625144938334
K352D20200910H15,0.012063184682119563,-0.010372214163275212
K353D20200910H15,0.05938467838859627,-0.015594096234235293
K354D20200910H15,-0.010180766486016776,0.00046673349964488454
K355D20200910H14,0.009668375604585706,0.0057985581390848084
K356D20200910H15,-0.01976581372481462,-0.005816338114698149
K357D20200910H14,0.05049909337477446,-0.014500851566218989
K358D20200910H14,-0.008547004054134236,0.0082166502365026
K359D20200910H14,0.014511886494162086,0.003808937203286022
K360D20200910H14,0.01368908191030762,-0.005196721418227796
K362D20200910H12,0.004227137899277129,0.043674185211916565
K363D20200910H12,0.029487913058312807,0.029561020379970215
K364D20200910H12,-0.0069758912417158155,0.025887590980930117
K365D20200910H12,0.04824071841391237,0.07842665708334848
K366D20200910H12,0.031606694028668454,0.0315224882280817
K367D20200910H13,0.054170717947141005,0.015999530653404252
K368D20200910H11,0.025703716334527733,0.00926049970506759
K369D20200910H11,0.04490693064997386,0.009968884303297973
K370D20200910H12,0.042020708738591504,0.015820797474692748
K371D20200910H11,0.04545761211694517,0.006547572449034955
K371D20200915H18,0.09994407526690302,-0.048478937735095616
K372D20200910H11,0.04777048345334331,0.03212256837615956
K373D20200910H11,0.08294987388523441,0.02793570816387994
K373D20200913H17,0.05360200848073352,-0.03789185320242868
K374D20200910H12,0.03122540444569691,0.03128755565455807
K375D20200910H11,0.08632543708819845,0.03477884662067657
K376D20200910H12,0.028759201464788487,0.031979316237369076
K377D20200910H11,0.04530097520374474,0.022699154146733708
K378D20200910H12,0.03474330928776389,0.021567714726653343
K379D20200910H11,0.049269373466552836,0.006462379993690762
K380D20200910H11,-0.009853939789557785,0.044138256525902315
K381D20200910H11,0.047058330799673684,0.01979965381467313
K382D20200910H11,0.04629477870406464,0.012700298227825228
K382D20200916H04,0.02660671532854303,-0.05182385423040571
K382D20200917H01,0.19248427096507995,-0.06697027392397716
K383D20200910H11,0.07526550648807213,0.006556793371171738
K383D20200914H03,-0.009304584777263763,-0.032751624657065485
K384D20200910H11,0.06609009614591882,-0.011719589706558066
K385D20200910H11,0.05663108217781086,-0.009361986339164097
