buoyid,alpha_real,alpha_imag
C001D20200911H12,-0.02445427084433711,0.00717591995307014
C002D20200911H11,-0.0015841582798864602,0.021280704940958503
C002D20200928H06,-0.09047437023160279,-0.16013234985208769
D001D20200910H17,0.026209289460470214,0.02089733866465635
D002D20200911H11,-0.026481010763946274,0.017918490660698602
D003D20200911H11,0.033426371072606494,-0.002667702908965701
D004D20200911H12,-0.020860010866984125,0.02076289358293459
D005D20200910H11,0.011012526970361697,0.00037984246679907734
D006D20200911H11,-0.016036808826081158,0.01218042324779552
D007D20200911H12,-0.01861137926472024,0.024495219615769396
D008D20200911H12,-0.01701621625710811,0.01653180882398604
D009D20200911H12,-0.01601895840449965,0.010528088249311124
D010D20200911H12,-0.015421559355815047,0.015749831218810212
D011D20200910H14,0.004504826680501873,-0.001743997328534928
D012D20200911H12,-0.024432658410606302,0.02469580664604991
H1155D20200910H11,0.002574493604336361,-0.002780610175666745
H1155D20200915H01,-0.032892731717726366,-0.007934603189589664
H1155D20200916H00,0.08005063635955495,-0.008803427216682796
H1156D20200910H11,0.20489464744863195,-0.06851578179158632
H1157D20200910H12,0.012927728180616181,0.026467846927694685
H1158D20200910H15,0.023854692789937217,-0.00032480046775452064
H1159D20200911H12,0.01618031327800275,0.00827128375811546
H1160D20200911H11,0.007360025277105798,0.007509771812117732
H1161D20200911H12,-0.017949300596080728,0.02413784582312013
H1162D20200911H11,0.020962253001321273,0.010482075827885911
H1163D20200911H12,-0.004256132876382181,-0.02224864153681959
H1164D20200911H12,0.03509480020356531,-0.0019762588654501623
H1165D20200910H14,0.011171527591230428,-0.008737024856757985
H1166D20200910H15,0.014819614957680308,-0.010391186883539377
H1167D20200911H11,0.016537871383467642,0.013992080960054777
H1168D20200911H12,0.04497001937561254,-0.0074009231732931275
H1169D20200911H12,0.02284176400976817,0.0036922627498014384
H1169D20200915H18,0.07301705417629575,0.0010874506454543172
H1169D20200918H08,-0.030477870129180226,0.009363028908435588
H1169D20200919H12,-0.07354216543139301,0.053653691340807656
H1169D20200921H08,-0.010703382135023413,-0.035261485964064525
H1169D20200923H17,0.03496903549784595,0.0780991236226815
H1169D20200924H14,0.045478622622393675,-0.005358055271886885
H1169D20200927H21,-0.0492579965342365,0.0017674569501825582
K302D20200911H12,0.007593820445270018,0.006802438448776271
K303D20200911H13,0.029668501082936477,-0.005754135946266142
K304D20200910H17,0.05593237369818096,0.05749275664252658
K305D20200910H17,0.009562149898360382,0.014188470179042605
K306D20200910H17,0.03572860682265596,0.037128492672112746
K307D20200910H17,0.019080577898435574,0.020200818439441947
K308D20200910H17,0.028092670659711442,0.017352296469674382
K310D20200910H17,0.054115006894988056,0.033971512362011055
K311D20200910H18,0.07789434781095998,0.14003677393603148
K312D20200910H18,0.00795924145130018,0.029590577887757614
K313D20200910H18,0.019805560485959904,0.02788879316540278
K314D20200910H17,0.031160709244545927,0.0685916238932949
K315D20200910H17,0.07924614546020625,0.05900952620384881
K316D20200910H17,0.1261664702735151,0.18921210197924898
K317D20200910H18,0.012835968910149365,0.06903023048290119
K317D20200915H18,0.002869399403549475,0.011730606387271159
K318D20200910H17,0.032147949459307545,0.026850301766102407
K319D20200910H17,0.08125394034785656,0.0551052199841249
K320D20200910H17,0.03663487210041566,0.03531636529280069
K321D20200910H18,0.03515283393755819,-0.0025622388439961413
K322D20200910H17,0.03361322505213619,0.04101167210504053
K323D20200910H18,0.050420133812007224,0.049355008420446725
K323D20200913H22,0.00529217592846268,-0.0020448706648735766
K324D20200910H17,0.030861251881464522,0.028946330498576426
K325D20200910H18,0.013416899569093794,0.06352997639334444
K326D20200910H17,0.037935210633851815,0.04710589114814634
K327D20200910H17,0.04102234423432727,0.033470367346133484
K328D20200910H17,0.047421359206251464,0.0291481490995384
K329D20200910H17,0.02319019813253158,0.02459265037660067
K330D20200910H18,0.007129727375569562,0.024222347386792145
K331D20200911H12,-0.02988418622925862,0.027693591241684943
K332D20200911H11,-0.02038410074824288,0.020846654069439804
K333D20200911H12,0.020998176954200642,0.011351866884982666
K334D20200910H14,0.016120247222199416,-0.022582829251798733
K335D20200910H14,0.020025617379676095,-0.0564830927447855
K336D20200910H14,0.014582770509587083,-0.029136089309967635
K337D20200910H15,0.015145124938954006,-0.017213983220903128
K338D20200910H15,0.09539179554687109,-0.06398626680670687
K339D20200910H15,0.005870065014257987,-0.02390515696466145
K340D20200910H15,0.029140345374237982,0.012312036373332065
K341D20200910H16,0.022147906311633648,-0.021179100952356183
K342D20200910H16,0.024093906915218892,0.015791344932664608
K343D20200910H15,0.0296937184371055,0.0008433297924883485
K344D20200910H15,0.033641483744384186,-0.017556985723812275
K345D20200910H15,0.04165348904280376,-0.012757348935588133
K347D20200910H15,0.02725616361760172,0.016301078920516722
K348D20200910H14,0.01665001951699136,-0.02305345878979478
K349D20200910H15,0.058909074204370075,0.002649962553431766
K350D20200910H14,0.005507204199104343,-0.012862129444840994
K351D20200910H15,-0.004179161117599763,-0.03451779586777442
K352D20200910H15,0.018273218800821753,-0.005115639784412015
K353D20200910H15,0.10619407269086224,-0.04253828036125235
K354D20200910H15,0.03567770034762256,-0.0557392961119683
K355D20200910H14,0.02168845075010079,0.01394971302211595
K356D20200910H15,-0.0045811817762991995,-0.0014331101211877673
K357D20200910H14,0.09901915080632837,-0.03928528141189703
K358D20200910H14,0.013688439100129027,-0.050865907925844056
K359D20200910H14,0.005834331021876164,-0.019883779033188834
K360D20200910H14,0.03437147255047189,-0.004379056766066626
K362D20200910H12,0.019856618941921658,-0.018069312975206604
K363D20200910H12,0.01965613868580148,0.06862338649462185
K364D20200910H12,-0.02785619925100032,0.020406478760341296
K365D20200910H12,0.10609422905235016,0.08664868412079949
K366D20200910H12,0.020561709652136977,0.07003971975103766
K367D20200910H13,0.0753441328290838,0.01372530038104361
K368D20200910H11,0.014562151850316172,0.002162618677532767
K369D20200910H11,0.02274753683225007,-0.00041772591852211875
K370D20200910H12,0.09214406804755698,0.036176181761256934
K371D20200910H11,0.023231470283142635,-0.0016775542352084015
K371D20200915H18,0.08984389297621173,-0.029251831369568132
K372D20200910H11,0.0815636096317713,0.0228370301079972
K373D20200910H11,0.035642503841694095,0.010122669435825111
K373D20200913H17,0.04742614226153164,-0.02719711152022769
K374D20200910H12,0.019855689993046287,0.07029998012465934
K375D20200910H11,0.03655577832019694,0.011922983323121646
K376D20200910H12,0.01958059483051724,0.030280014758886045
K377D20200910H11,0.05231211683947439,0.01179452022087401
K378D20200910H12,0.06573164283495282,0.02687041291837567
K379D20200910H11,0.023568824549108955,-0.010686516848246695
K380D20200910H11,-0.004166671335650268,0.024006036472843335
K381D20200910H11,0.09960457185877468,0.030067521087688797
K382D20200910H11,0.01865568787226048,0.003603333597239381
K382D20200916H04,0.019144249900391097,-0.02044267556101356
K382D20200917H01,0.08849326512737418,-0.08459929022937539
K383D20200910H11,0.024833199763259213,-0.0026299453808883966
