buoyid,alpha_real,alpha_imag
300434065731640D20210907H11,0.06448971871929711,-0.0025128541886933514
300434065731640D20210910H14,0.0383457315682569,-0.024063133779047147
300434065731640D20210912H10,0.06290998343165981,-0.003232211891474721
300434065731640D20210916H22,0.04821940076611462,-0.008317581139217925
300434065736650D20210909H11,0.049888871992295955,0.0011144554112281428
300434065831760D20210906H19,0.06674711716607182,0.004583764040153033
300434065831760D20210915H08,0.01672769638254182,-0.02476076874714763
300434065831760D20210920H19,0.03278445262144416,-0.0052648045647798215
300434065835770D20210908H11,0.022294475860412166,-0.01281570111125689
300434065932960D20210906H11,0.02804954508406107,0.04055678157882003
300434065937970D20210905H12,0.04406792539333701,-0.008084464421553162
